0.896 0.540	0.093 0.260
0.279 0.859	0.566 0.122
0.307 0.403	0.133 0.032
0.974 0.546	0.024 0.273
0.069 0.903	0.175 0.009
0.290 0.448	0.159 0.036
0.015 0.085	0.000 0.000
0.686 0.507	0.215 0.183
0.277 0.434	0.144 0.031
0.743 0.705	0.359 0.386
0.433 0.752	0.552 0.205
0.251 0.154	0.017 0.003
0.661 0.620	0.336 0.262
0.096 0.823	0.202 0.014
0.771 0.403	0.107 0.130
0.992 0.643	0.011 0.379
0.988 0.763	0.022 0.533
0.007 0.910	0.019 0.000
0.689 0.805	0.537 0.464
0.228 0.274	0.050 0.009
0.894 0.753	0.186 0.506
0.276 0.100	0.008 0.002
0.227 0.482	0.152 0.026
0.542 0.254	0.064 0.033
0.999 0.673	0.001 0.415
0.530 0.572	0.326 0.164
0.073 0.257	0.015 0.001
0.244 0.410	0.116 0.022
0.001 0.718	0.001 0.000
0.012 0.912	0.031 0.000
0.983 0.251	0.003 0.058
0.815 0.315	0.054 0.083
0.631 0.261	0.062 0.044
0.629 0.251	0.058 0.040
0.803 0.466	0.126 0.181
0.062 0.535	0.055 0.002
0.438 0.250	0.061 0.023
0.909 0.499	0.070 0.223
0.860 0.452	0.087 0.178
0.461 0.702	0.489 0.198
0.714 0.668	0.349 0.332
0.610 0.695	0.454 0.296
0.869 0.467	0.087 0.192
0.366 0.526	0.253 0.075
0.713 0.967	0.734 0.694
0.765 0.405	0.110 0.131
0.890 0.472	0.075 0.198
0.216 0.462	0.134 0.022
0.039 0.491	0.030 0.001
0.343 0.566	0.282 0.077
0.264 0.057	0.002 0.000
0.815 0.898	0.444 0.679
0.038 0.704	0.059 0.002
0.483 0.204	0.041 0.018
0.185 0.184	0.019 0.003
0.972 0.162	0.002 0.024
0.239 0.828	0.467 0.084
0.530 0.192	0.037 0.018
0.495 0.672	0.451 0.204
0.979 0.474	0.015 0.206
0.736 0.864	0.550 0.573
0.205 0.380	0.087 0.013
0.827 0.623	0.201 0.331
0.867 0.857	0.298 0.645
0.232 0.661	0.290 0.051
0.605 0.585	0.324 0.208
0.045 0.550	0.043 0.001
0.126 0.366	0.051 0.005
0.135 0.364	0.054 0.005
0.920 0.362	0.033 0.118
0.724 0.843	0.541 0.536
0.956 0.945	0.122 0.816
0.784 0.804	0.406 0.527
0.288 0.887	0.620 0.138
0.349 0.297	0.078 0.022
0.899 0.746	0.174 0.498
0.558 0.115	0.013 0.007
0.482 0.838	0.701 0.304
0.652 0.605	0.326 0.245
0.095 0.344	0.035 0.002
0.125 0.815	0.254 0.023
0.576 0.143	0.020 0.012
0.067 0.260	0.014 0.001
0.286 0.238	0.044 0.010
0.310 0.648	0.347 0.084
0.850 0.019	0.000 0.000
0.473 0.596	0.353 0.149
0.705 0.394	0.124 0.114
0.990 0.064	0.000 0.004
0.594 0.790	0.597 0.369
0.909 0.563	0.089 0.285
0.270 0.627	0.295 0.061
0.399 0.306	0.089 0.030
0.847 0.590	0.161 0.301
0.320 0.691	0.403 0.101
0.445 0.263	0.068 0.026
0.651 0.896	0.714 0.536
0.917 0.023	0.000 0.000
0.776 0.135	0.012 0.015
0.844 0.925	0.403 0.738
