0.658 0.365	0.117 0.090
0.667 0.658	0.375 0.298
0.726 0.209	0.033 0.033
0.832 0.411	0.085 0.144
0.915 0.630	0.104 0.358
0.606 0.377	0.134 0.087
0.012 0.163	0.001 0.000
0.370 0.793	0.576 0.174
0.054 0.719	0.087 0.003
0.730 0.789	0.467 0.475
0.554 0.184	0.033 0.018
0.351 0.626	0.350 0.099
0.135 0.746	0.230 0.023
0.491 0.309	0.095 0.042
0.663 0.754	0.496 0.389
0.514 0.010	0.000 0.000
0.641 0.685	0.424 0.308
0.161 0.449	0.098 0.012
0.276 0.668	0.340 0.072
0.178 0.764	0.310 0.041
0.648 0.180	0.029 0.022
0.074 0.413	0.040 0.002
0.559 0.402	0.159 0.088
0.344 0.866	0.662 0.183
0.363 0.489	0.218 0.064
0.998 0.766	0.003 0.538
0.552 0.940	0.872 0.471
0.558 0.061	0.004 0.002
0.103 0.642	0.131 0.010
0.282 0.906	0.636 0.138
0.761 0.934	0.594 0.693
0.422 0.870	0.735 0.263
0.650 0.934	0.777 0.581
0.141 0.962	0.397 0.041
0.227 0.716	0.335 0.057
0.824 0.530	0.147 0.238
0.176 0.119	0.007 0.001
0.783 0.857	0.463 0.598
0.748 0.662	0.312 0.342
0.196 0.313	0.057 0.008
0.629 0.020	0.000 0.000
0.318 0.241	0.049 0.012
0.671 0.030	0.001 0.001
0.017 0.114	0.001 0.000
0.160 0.775	0.289 0.034
0.924 0.369	0.032 0.123
0.977 0.323	0.008 0.095
0.586 0.380	0.139 0.084
0.251 0.925	0.607 0.116
0.414 0.091	0.008 0.003
0.364 0.876	0.698 0.206
0.780 0.617	0.243 0.309
0.698 0.440	0.157 0.141
0.695 0.303	0.075 0.066
0.549 0.604	0.361 0.193
0.018 0.910	0.046 0.001
0.706 0.281	0.063 0.058
0.985 0.849	0.034 0.660
0.401 0.239	0.054 0.018
0.575 0.620	0.374 0.217
0.892 0.746	0.186 0.496
0.545 0.187	0.035 0.018
0.961 0.758	0.069 0.525
0.900 0.533	0.087 0.254
0.467 0.241	0.058 0.024
0.444 0.080	0.006 0.002
0.878 0.280	0.029 0.069
0.611 0.957	0.860 0.564
0.694 0.924	0.700 0.615
0.066 0.040	0.000 0.000
0.134 0.203	0.017 0.002
0.065 0.136	0.004 0.000
0.298 0.546	0.240 0.056
0.815 0.250	0.034 0.053
0.736 0.859	0.544 0.567
0.311 0.483	0.193 0.047
0.523 0.450	0.201 0.099
0.206 0.772	0.359 0.055
0.670 0.772	0.512 0.412
0.517 0.723	0.521 0.252
0.308 0.488	0.196 0.047
0.497 0.590	0.348 0.158
0.781 0.785	0.391 0.501
0.461 0.968	0.930 0.377
0.900 0.408	0.052 0.149
0.963 0.767	0.069 0.538
0.326 0.234	0.047 0.012
0.126 0.798	0.245 0.023
0.626 0.823	0.626 0.430
0.052 0.002	0.000 0.000
0.088 0.169	0.008 0.000
0.152 0.609	0.171 0.019
0.056 0.921	0.147 0.006
0.343 0.038	0.001 0.000
0.425 0.556	0.300 0.108
0.072 0.597	0.079 0.004
0.593 0.331	0.105 0.065
0.933 0.210	0.009 0.040
0.592 0.787	0.594 0.365
0.545 0.904	0.808 0.427
